"","Var1","Var2","value","summed_score","percentage","responses","proportion","nice_names"
"58","Self Taught","Institutional Issues: No support from comp-sci faculty",3,4,75,469,0.00639658848614072,"SelfDTaught"
"59","Workshops and Bootcamps","Institutional Issues: No support from comp-sci faculty",0,4,0,231,0,"Workshops_and_Bootcamps"
"60","Formal Training","Institutional Issues: No support from comp-sci faculty",1,4,25,249,0.00401606425702811,"Formal_Training"
"61","No Training","Student Issues: Access to software off-campus",1,10,10,103,0.00970873786407767,"No_Training"
"62","Self Taught","Student Issues: Access to software off-campus",4,10,40,469,0.00852878464818763,"SelfDTaught"
"63","Workshops and Bootcamps","Student Issues: Access to software off-campus",2,10,20,231,0.00865800865800866,"Workshops_and_Bootcamps"
"64","Formal Training","Student Issues: Access to software off-campus",3,10,30,249,0.0120481927710843,"Formal_Training"
"65","No Training","Student Issues: Basic computing knowledge",0,6,0,103,0,"No_Training"
"66","Self Taught","Student Issues: Basic computing knowledge",2,6,33.3333333333333,469,0.00426439232409382,"SelfDTaught"
"67","Workshops and Bootcamps","Student Issues: Basic computing knowledge",1,6,16.6666666666667,231,0.00432900432900433,"Workshops_and_Bootcamps"
"68","Formal Training","Student Issues: Basic computing knowledge",3,6,50,249,0.0120481927710843,"Formal_Training"
"69","No Training","Student Issues: Access to computers Off-campus",2,12,16.6666666666667,103,0.0194174757281553,"No_Training"
"70","Self Taught","Student Issues: Access to computers Off-campus",6,12,50,469,0.0127931769722814,"SelfDTaught"
"71","Workshops and Bootcamps","Student Issues: Access to computers Off-campus",1,12,8.33333333333333,231,0.00432900432900433,"Workshops_and_Bootcamps"
"72","Formal Training","Student Issues: Access to computers Off-campus",3,12,25,249,0.0120481927710843,"Formal_Training"
"73","No Training","Student Issues: No interest in bioinformatics",0,0,NA,103,0,"No_Training"
"74","Self Taught","Student Issues: No interest in bioinformatics",0,0,NA,469,0,"SelfDTaught"
"75","Workshops and Bootcamps","Student Issues: No interest in bioinformatics",0,0,NA,231,0,"Workshops_and_Bootcamps"
"76","Formal Training","Student Issues: No interest in bioinformatics",0,0,NA,249,0,"Formal_Training"
"77","No Training","Curriculum Issues: New program development required",1,4,25,103,0.00970873786407767,"No_Training"
"78","Self Taught","Curriculum Issues: New program development required",1,4,25,469,0.00213219616204691,"SelfDTaught"
"79","Workshops and Bootcamps","Curriculum Issues: New program development required",2,4,50,231,0.00865800865800866,"Workshops_and_Bootcamps"
"80","Formal Training","Curriculum Issues: New program development required",0,4,0,249,0,"Formal_Training"
"81","No Training","Curriculum Issues: Class size",1,3,33.3333333333333,103,0.00970873786407767,"No_Training"
"82","Self Taught","Curriculum Issues: Class size",1,3,33.3333333333333,469,0.00213219616204691,"SelfDTaught"
"83","Workshops and Bootcamps","Curriculum Issues: Class size",0,3,0,231,0,"Workshops_and_Bootcamps"
"84","Formal Training","Curriculum Issues: Class size",1,3,33.3333333333333,249,0.00401606425702811,"Formal_Training"
"85","No Training","Curriculum Issues: Access to bioinformatics lesson plans",1,2,50,103,0.00970873786407767,"No_Training"
"86","Self Taught","Curriculum Issues: Access to bioinformatics lesson plans",1,2,50,469,0.00213219616204691,"SelfDTaught"
"87","Workshops and Bootcamps","Curriculum Issues: Access to bioinformatics lesson plans",0,2,0,231,0,"Workshops_and_Bootcamps"
"88","Formal Training","Curriculum Issues: Access to bioinformatics lesson plans",0,2,0,249,0,"Formal_Training"
