"","No_Training","SelfDtaught","Short_workshops","Some_undergraduate_coursework","Undergraduate_certificate","Undergraduate_degree","PostDgraduate_certificate","Graduate_course_or_degree"
"Faculty Issues"," 51","131"," 54"," 13","  2","  1"," 31","  4"
"Curriculum Issues","23","98","39"," 7"," 1"," 1","30"," 8"
"Resource Issues"," 4","45","14"," 0"," 1"," 2","15"," 0"
"Student Issues"," 5","30","11"," 3"," 0"," 0","12"," 1"
"Facilities Issues","1","9","4","0","0","0","4","0"
"Institutional Issues","1","2","0","0","0","0","0","0"
"State Issues","0","1","0","0","0","0","0","1"
"Accredidation Issues","0","1","0","0","0","0","0","0"
