"","q06_Assoc_var_summed.1.6.","q06_Bacca_var_summed.1.6.","q06_Doc_var_summed.1.6.","q06_Master_var_summed.1.6."
"q06_Faculty_issues_sum",24,110,65,75
"q06_Curriculum_issues_sum",26,36,34,34
"q06_Student_issues_sum",12,19,16,16
"q06_Institutional_issues_sum",9,13,10,14
"q06_Resource_issues_sum",11,11,6,9
"q06_Facilities_issues_sum",2,7,2,9
