"","category_key","variable","value"
"1","Not.underrepresented.in.STEM","Yes","0.5281981"
"2","Underrepresented.in.STEM","Yes","0.6029412"
"3","Not.underrepresented.in.STEM","No","0.4718019"
"4","Underrepresented.in.STEM","No","0.3970588"
