"","Associates","Baccalaureate","Masters","Doctoral"
"Faculty Issues","63","71","62","67"
"Curriculum Issues","56","45","35","57"
"Resource Issues","25","15","14","21"
"Student Issues","19"," 9","11","15"
"Facilities Issues","4","4","4","6"
"Institutional Issues","0","1","1","1"
"State Issues","1","0","0","0"
"Accredidation Issues","1","0","0","0"
