"","No_Training","SelfDtaught","Short_workshops","Some_undergraduate_coursework","Undergraduate_certificate","Undergraduate_degree","PostDgraduate_certificate","Graduate_course_or_degree"
"category_key","1_no.training.experience","3_short.workshop","4_some.undergraduate.courses","6_undergraduate.certificate","7_undergraduate.degree","8_post.graduate.degree","9_graduate.course.or.degree","self.taught"
"response_count","103","231","31","5","10","148","55","469"
