"","No_Training","SelfDtaught","Short_workshops","Some_undergraduate_coursework","Undergraduate_certificate","Undergraduate_degree","PostDgraduate_certificate","Graduate_course_or_degree"
"category_key","1_no_training_experience","2_No_formal_training_self_taught","3_short_workshop","4_some_undergraduate_courses","6_undergraduate_certificate","7_undergraduate_degree","8_post_graduate_degree","9_graduate.course_or_degree"
"response_count","103","469","231","31","5","10","148","55"
