"","American_Indian_or_Alaskan_Native","Asian","Black_or_African_American","Hispanic","Native_Hawaiian_or_Pacific_Islander","White"
"category_key","American Indian or Alaskan Native","Asian","Black or African American","Hispanic","Native Hawaiian or Other Pacific Islander","White"
"response_count","2","65","34","42","3","815"
