"","Var1","Var2","value","summed_score","percentage","responses","proportion","nice_names"
"48","4_Doctoral University (High, Higher, Highest Research Activity)","Resource Issues: Funding",4,20,20,358,0.0111731843575419,"Doctoral"
"49","1_Associate's College","Institutional Issues: Access to IT support",26,116,22.4137931034483,176,0.147727272727273,"Associates"
"50","2_Baccalaureate College","Institutional Issues: Access to IT support",45,116,38.7931034482759,228,0.197368421052632,"Baccalaureate"
"51","3_Master's (Small, Medium, Large)","Institutional Issues: Access to IT support",32,116,27.5862068965517,204,0.156862745098039,"Masters"
"52","4_Doctoral University (High, Higher, Highest Research Activity)","Institutional Issues: Access to IT support",13,116,11.2068965517241,358,0.0363128491620112,"Doctoral"
"53","1_Associate's College","Institutional Issues: Subscriptions/licenses",0,2,0,176,0,"Associates"
"54","2_Baccalaureate College","Institutional Issues: Subscriptions/licenses",0,2,0,228,0,"Baccalaureate"
"55","3_Master's (Small, Medium, Large)","Institutional Issues: Subscriptions/licenses",1,2,50,204,0.00490196078431373,"Masters"
"56","4_Doctoral University (High, Higher, Highest Research Activity)","Institutional Issues: Subscriptions/licenses",1,2,50,358,0.00279329608938547,"Doctoral"
"57","1_Associate's College","Institutional Issues: No support from comp-sci faculty",0,3,0,176,0,"Associates"
"58","2_Baccalaureate College","Institutional Issues: No support from comp-sci faculty",3,3,100,228,0.0131578947368421,"Baccalaureate"
"59","3_Master's (Small, Medium, Large)","Institutional Issues: No support from comp-sci faculty",0,3,0,204,0,"Masters"
"60","4_Doctoral University (High, Higher, Highest Research Activity)","Institutional Issues: No support from comp-sci faculty",0,3,0,358,0,"Doctoral"
"61","1_Associate's College","Student Issues: Access to software off-campus",4,10,40,176,0.0227272727272727,"Associates"
"62","2_Baccalaureate College","Student Issues: Access to software off-campus",2,10,20,228,0.0087719298245614,"Baccalaureate"
"63","3_Master's (Small, Medium, Large)","Student Issues: Access to software off-campus",3,10,30,204,0.0147058823529412,"Masters"
"64","4_Doctoral University (High, Higher, Highest Research Activity)","Student Issues: Access to software off-campus",1,10,10,358,0.00279329608938547,"Doctoral"
