"","Not_underrepresented_in_STEM","Underrepresented_in_STEM"
"Curriculum Issues","198"," 16"
"Faculty Issues","298"," 38"
"Facility Issues","44"," 6"
"Resources Issues","64"," 6"
"Student Issues","257"," 13"
"Institutional Issues","20"," 5"
