"","K1980D1989","K1990D1999","K2000D2009","K2010D2016"
"Curriculum Issues","38","58","82","31"
"Faculty Issues"," 73"," 98","115"," 49"
"Facility Issues"," 7","17","18"," 7"
"Resources Issues","19","26","23"," 8"
"Student Issues","56","87","92","34"
"Institutional Issues","8","7","8","4"
