"","K1980D1989","K1990D1999","K2000D2010","K2010D2016"
"Faculty Issues"," 40"," 81","100"," 46"
"Curriculum Issues","27","59","73","35"
"Resource Issues"," 9","26","26","16"
"Student Issues","12","13","19","16"
"Facilities Issues","1","6","4","6"
"Institutional Issues","1","2","0","0"
"State Issues","1","0","0","1"
"Accredidation Issues","0","0","1","0"
