"","Less_than_5X000","K5X000D15X000","More_than_15X000"
"Curriculum Issues","89","73","64"
"Faculty Issues","149","108"," 86"
"Facility Issues","16","14","18"
"Resources Issues","34","27","16"
"Student Issues","103"," 97"," 88"
"Institutional Issues","15"," 7"," 4"
