"","Associates","Baccalaureate","Masters","Doctoral"
"Faculty Issues"," 8","12"," 8"," 4"
"Facilities Issues","43","49","38","45"
"Resource Issues","29","45","34","21"
"Institutional Issues","26","47","33","14"
"Student Issues","9","2","3","3"
"Curriculum Issues","2","1","1","4"
