"","Var1","Var2","value","summed_score","percentage","responses","proportion","nice_names"
"47","3_Master's (Small, Medium, Large)","Curriculum Issues: Plan for future coverage",2,8,25,204,0.00980392156862745,"Masters"
"48","4_Doctoral University (High, Higher, Highest Research Activity)","Curriculum Issues: Plan for future coverage",3,8,37.5,358,0.00837988826815642,"Doctoral"
"49","1_Associate's College","Curriculum Issues: Too much content",0,4,0,176,0,"Associates"
"50","2_Baccalaureate College","Curriculum Issues: Too much content",1,4,25,228,0.0043859649122807,"Baccalaureate"
"51","3_Master's (Small, Medium, Large)","Curriculum Issues: Too much content",2,4,50,204,0.00980392156862745,"Masters"
"52","4_Doctoral University (High, Higher, Highest Research Activity)","Curriculum Issues: Too much content",1,4,25,358,0.00279329608938547,"Doctoral"
"53","1_Associate's College","Curriculum Issues: Content requires several courses",0,1,0,176,0,"Associates"
"54","2_Baccalaureate College","Curriculum Issues: Content requires several courses",0,1,0,228,0,"Baccalaureate"
"55","3_Master's (Small, Medium, Large)","Curriculum Issues: Content requires several courses",1,1,100,204,0.00490196078431373,"Masters"
"56","4_Doctoral University (High, Higher, Highest Research Activity)","Curriculum Issues: Content requires several courses",0,1,0,358,0,"Doctoral"
"57","1_Associate's College","Resource Issues: Access to exercises",9,38,23.6842105263158,176,0.0511363636363636,"Associates"
"58","2_Baccalaureate College","Resource Issues: Access to exercises",10,38,26.3157894736842,228,0.043859649122807,"Baccalaureate"
"59","3_Master's (Small, Medium, Large)","Resource Issues: Access to exercises",9,38,23.6842105263158,204,0.0441176470588235,"Masters"
"60","4_Doctoral University (High, Higher, Highest Research Activity)","Resource Issues: Access to exercises",10,38,26.3157894736842,358,0.0279329608938547,"Doctoral"
"61","1_Associate's College","Resource Issues: Access to lesson plans",7,32,21.875,176,0.0397727272727273,"Associates"
"62","2_Baccalaureate College","Resource Issues: Access to lesson plans",9,32,28.125,228,0.0394736842105263,"Baccalaureate"
"63","3_Master's (Small, Medium, Large)","Resource Issues: Access to lesson plans",6,32,18.75,204,0.0294117647058824,"Masters"
"64","4_Doctoral University (High, Higher, Highest Research Activity)","Resource Issues: Access to lesson plans",10,32,31.25,358,0.0279329608938547,"Doctoral"
"65","1_Associate's College","Resource Issues: Access to intro content",8,13,61.5384615384615,176,0.0454545454545455,"Associates"
"66","2_Baccalaureate College","Resource Issues: Access to intro content",1,13,7.69230769230769,228,0.0043859649122807,"Baccalaureate"
"67","3_Master's (Small, Medium, Large)","Resource Issues: Access to intro content",2,13,15.3846153846154,204,0.00980392156862745,"Masters"
"68","4_Doctoral University (High, Higher, Highest Research Activity)","Resource Issues: Access to intro content",2,13,15.3846153846154,358,0.00558659217877095,"Doctoral"
