"","q38_Assoc_var_summed.1.8.","q38_Bacca_var_summed.1.8.","q38_Doc_var_summed.1.8.","q38_Master_var_summed.1.8."
"q38_Faculty_issues_sum",74,94,81,76
"q38_Curriculum_issues_sum",68,55,69,42
"q38_Resources_issues_sum",37,30,32,23
"q38_Student_issues_sum",20,9,15,11
"q38_Facilities_issues_sum",4,4,6,4
"q38_Institutional_issues_sum",0,1,1,1
"q38_State_issues_sum",1,0,0,0
"q38_Accredited_issues_sum",1,0,0,0
