"","Formal_Training","No_Training","SelfDTaught","Workshops_and_Bootcamps"
"Faculty Issues"," 51"," 51","131"," 54"
"Curriculum Issues","47","23","98","39"
"Resource Issues","18"," 4","45","14"
"Student Issues","16"," 5","30","11"
"Facilities Issues","4","1","9","4"
"Institutional Issues","0","1","2","0"
"State Issues","1","0","1","0"
"Accredidation Issues","0","0","1","0"
