"","American_Indian_or_Alaskan_Native","Asian","Black_or_African_American","Hispanic","Native_Hawaiian_or_Pacific_Islander","White"
"Faculty Issues","  1","  8","  7"," 12","  0","179"
"Curriculum Issues"," 0"," 1"," 2"," 3"," 2","94"
"Student Issues"," 1"," 2"," 1"," 4"," 0","45"
"Institutional Issues"," 1"," 3"," 2"," 1"," 0","31"
"Resource Issues"," 0"," 0"," 0"," 2"," 1","29"
"Facilities Issues"," 0"," 1"," 0"," 2"," 0","17"
