"","Dedicated_Course","Integrating_Bioinformatics","Not_Integrating_Bioinformatics"
"Faculty Issues"," 3"," 8","25"
"Facilities Issues"," 23"," 53","110"
"Resource Issues","22","44","73"
"Institutional Issues","22","42","69"
"Student Issues"," 4"," 4","11"
"Curriculum Issues","0","2","6"
