"","Var1","Freq","percentage","percentage_of_total_N","question"
"1","American Indian or Alaskan Native",2,0.00428265524625268,0.0016246953696182,"Q15 Race adj_38.filter"
"2","Asian",29,0.0620985010706638,0.0235580828594639,"Q15 Race adj_38.filter"
"3","Black or African American",18,0.0385438972162741,0.0146222583265638,"Q15 Race adj_38.filter"
"4","Hispanic",26,0.0556745182012848,0.0211210398050366,"Q15 Race adj_38.filter"
"5","Native Hawaiian or Other Pacific Islander",2,0.00428265524625268,0.0016246953696182,"Q15 Race adj_38.filter"
"6","White",390,0.835117773019272,0.316815597075548,"Q15 Race adj_38.filter"
