"","Var1","Freq","percentage","percentage_of_total_N","question"
"1","1970-1979",23,0.0465587044534413,0.0186839967506093,"Q18 bin degree_38.filter"
"2","1980-1989",73,0.147773279352227,0.0593013809910642,"Q18 bin degree_38.filter"
"3","1990-1999",129,0.261133603238866,0.104792851340374,"Q18 bin degree_38.filter"
"4","2000-2010",168,0.340080971659919,0.136474411047929,"Q18 bin degree_38.filter"
"5","2010-2016",98,0.198380566801619,0.0796100731112916,"Q18 bin degree_38.filter"
"6","Before 1970",3,0.00607287449392713,0.00243704305442729,"Q18 bin degree_38.filter"
