"","Var1","Freq","percentage","percentage_of_total_N","question"
"1","1_American Indian or Alaska Native",2,0.00399201596806387,0.0016246953696182,"Q15 Race_38.filter"
"2","2_Asian",29,0.0578842315369262,0.0235580828594639,"Q15 Race_38.filter"
"3","3_Black or African American",18,0.0359281437125748,0.0146222583265638,"Q15 Race_38.filter"
"4","4_Native Hawaiian or Other Pacific Islander",2,0.00399201596806387,0.0016246953696182,"Q15 Race_38.filter"
"5","5_White",410,0.818363273453094,0.33306255077173,"Q15 Race_38.filter"
"6","6_Rather not say",40,0.0798403193612774,0.0324939073923639,"Q15 Race_38.filter"
