"","Var1","Freq","percentage","percentage_of_total_N","question"
"1","1_No training/experience",103,0.0979087452471483,0.0836718115353371,"Q3 Level of Training"
"2","2_No formal training (self-taught)",469,0.445817490494297,0.380991064175467,"Q3 Level of Training"
"3","3_Short workshop/bootcamp",231,0.21958174904943,0.187652315190902,"Q3 Level of Training"
"4","4_Some undergraduate courses",31,0.029467680608365,0.025182778229082,"Q3 Level of Training"
"5","6_Undergraduate certificate",5,0.00475285171102662,0.00406173842404549,"Q3 Level of Training"
"6","7_Undergraduate degree",10,0.00950570342205323,0.00812347684809098,"Q3 Level of Training"
"7","8_Post-graduate certificate",148,0.140684410646388,0.120227457351747,"Q3 Level of Training"
"8","9_Graduate course	Graduate degree",55,0.0522813688212928,0.0446791226645004,"Q3 Level of Training"
