"","Var1","Freq","percentage","percentage_of_total_N","question"
"1","B.S. Degree",6,0.00570342205323194,0.00487408610885459,"Q17 Highest Degree"
"2","M.S. Degree",112,0.106463878326996,0.090982940698619,"Q17 Highest Degree"
"3","Other Degree",6,0.00570342205323194,0.00487408610885459,"Q17 Highest Degree"
"4","PhD",918,0.872623574144487,0.745735174654752,"Q17 Highest Degree"
"5","Professional Degree",10,0.00950570342205323,0.00812347684809098,"Q17 Highest Degree"
