"","Var1","Freq","percentage","percentage_of_total_N","question"
"1","American Indian or Alaskan Native",2,0.00208116545265349,0.0016246953696182,"Q15 Race adj"
"2","Asian",65,0.0676378772112383,0.0528025995125914,"Q15 Race adj"
"3","Black or African American",34,0.0353798126951093,0.0276198212835093,"Q15 Race adj"
"4","Hispanic",42,0.0437044745057232,0.0341186027619821,"Q15 Race adj"
"5","Native Hawaiian or Other Pacific Islander",3,0.00312174817898023,0.00243704305442729,"Q15 Race adj"
"6","White",815,0.848074921956296,0.662063363119415,"Q15 Race adj"
