"","Var1","Freq","percentage","percentage_of_total_N","question"
"1","1_American Indian or Alaska Native",2,0.0016246953696182,0.0016246953696182,"Q15 Race"
"2","2_Asian",65,0.0528025995125914,0.0528025995125914,"Q15 Race"
"3","3_Black or African American",35,0.0284321689683184,0.0284321689683184,"Q15 Race"
"4","4_Native Hawaiian or Other Pacific Islander",3,0.00243704305442729,0.00243704305442729,"Q15 Race"
"5","5_White",847,0.688058489033306,0.688058489033306,"Q15 Race"
"6","6_Rather not say",94,0.0763606823720552,0.0763606823720552,"Q15 Race"
"7",NA,185,0.150284321689683,0.150284321689683,"Q15 Race"
