"","Var1","Freq","percentage","percentage_of_total_N"
"1","Total Students: < 5,000",331,0.268887083671812,0.268887083671812
"2","Total Students: > 15,000",334,0.271324126726239,0.271324126726239
"3","Total Students: 5-15,000",344,0.27944760357433,0.27944760357433
"4",NA,222,0.18034118602762,0.18034118602762
