"","Var1","Freq","percentage","percentage_of_total_N"
"1","MW",297,0.242053789731051,0.241267262388302
"2","NE",268,0.21841890790546,0.217709179528838
"3","SO",397,0.323553382233089,0.322502030869212
"4","WE",265,0.215973920130399,0.215272136474411
