"","Var1","Freq","percentage","percentage_of_total_N"
"1","Department undergrads < 50",98,0.0796100731112916,0.0796100731112916
"2","Department undergrads > 2,000",58,0.0471161657189277,0.0471161657189277
"3","Department undergrads: 101-500",380,0.308692120227457,0.308692120227457
"4","Department undergrads: 500-2,000",240,0.194963444354184,0.194963444354184
"5","Department undergrads: 51-100",140,0.113728675873274,0.113728675873274
"6",NA,315,0.255889520714866,0.255889520714866
