"","Associates","Baccalaureate","Masters","Doctoral"
"category_key","1_Associate's College","2_Baccalaureate College","3_Master's (Small, Medium, Large)","4_Doctoral University (High, Higher, Highest Research Activity)"
"response_count","176","228","204","358"
