ID,Q57,Q1,Q14,Q17,Q3,Q21,Q22,Region,Division,517,309,189,149,36,9,4,221,112,61,37,28,16,9,9,6,1,110,40,37,19,17,10,9,5,2,71,60,13,18,18,19,3,2,1,,
ID,Please select the statement belOw that best describes yOu.,Please select the statement belOw that best describes yOur current teaching Of biOinfOrmatics cOn...,Sex,"Highest earned degree. If ""other,"" please explain.",Which of the following best describes your level of bioinformatics training?,What is the Carnegie classification of your institution?,Is your institution classified as minority-serving?,Region,Division,What is preventing yOu frOm including biOinfOrmatics cOntent in these cOurses?,Faculty Issues - General,Faculty Issue - No Expertise/ Training,Faculty Issue - Time,Faculty Issue - Does not know how to design curricula or incorporate with existing curriculum,Faculty Issue - Lack of Faculty interest at Institution,Faculty Issues - Faculty is new to current Dept,Curriculum Issues - General,Curriculum Issue - Course Load Full/ No time/space for Content,Curric Issues - Does not Fit into current Current Course Structure,Curriculum Issue - Time for Curriculum Development, Curric Issues - Lack of Curric Control/not in curent Curric.,Curric Issues - Bioinf. Taught in other courses at institution,Curric Issue - Class Size,Curric Issues - Plans to teach Bioinf. In the future (but not currently available),Curric Issue - Bioinfo Conent too Massive,Curric Issues - Content needs to be introduced in multiple courses,Resource Issues - General,Resources - Access to Quality Exercises/ Content,Resources - Access to developed Bioinf Lesson Plans/Bioinf Curric,Resources - Access to Approp Introductory Content,Resources - Unable to identify/access best current Bioinf material,Resource Issues - Funding,Resource Issues - Not available in course textbook,Resource Issues - Access to Quality Online Exerices/Conent,Resource Issues -TA's lack approp skils,Student Issues - General,Student Issues - UG Students Lack Approp Background Knowledge,Student Issues - Lack of interest in topic,Facilities Issues - General,Facilities Issue -Access to Appropriate Facilities/ Equipment,Inst/Dept. Support - General,Inst/Dept Issues - Institutional Inertia,State restrictions,Not accredited,,
111,1,3,3,4,2,4,3,SO,5,past course-taught more bioinformatics; current course-need more course structure,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,1,2,2,4,2,4,3,NE,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,1,2,1,4,2,4,3,WE,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,WE,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,MW,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,1,4,2,4,2,4,1,WE,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,MW,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,MW,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,1,1,3,4,2,4,1,SO,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,1,2,1,4,3,4,1,SO,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,1,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,SO,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,1,1,1,4,3,3,2,SO,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,1,4,1,4,2,4,2,SO,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,1,4,2,4,8,4,3,WE,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,1,1,2,4,9,4,2,WE,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,1,3,1,4,8,5,2,MW,4,"time and mass of content, weak quantitative skills of undergrad population",1,,1,,,,1,1,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,
127,1,3,1,4,2,4,1,MW,3,lack of developed lesson plans,1,,,1,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,
128,1,1,1,4,2,4,1,WE,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,1,2,2,4,2,4,2,SO,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,1,1,1,4,2,4,2,SO,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,1,4,2,4,2,4,1,SO,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,1,4,2,4,9,5,2,SO,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,1,2,2,4,8,4,2,MW,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,2,3,1,2,1,1,2,WE,8,"knowledge, expertise, lab preparation",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,1,3,1,4,3,3,2,NE,2,"Ideas on what to do, time in which to implement it",1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,1,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,NE,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,1,2,2,4,2,4,3,NE,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,1,2,2,4,2,4,2,NE,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,1,2,1,4,3,3,2,NE,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,1,3,1,4,2,3,2,WE,9,"I include one lesson/lab session on bioinformatics usually, but am constrained due to time and other content that needs to be covered.  Also, I have been removed from academic research long enough that my bioinformatics skills are getting rusty, and I coud use some professional development to best utilize the currently available bioinformatics tools.",1,1,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
141,1,2,2,4,2,4,3,MW,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,#NULL!,#NULL!,2,4,1,4,3,MW,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,1,3,2,4,4,4,3,MW,4,I teach courses primarily in Microbiology and Molecular Biology and there is scant time in a semester course to include bioinformatics in addition to all the other concepts I'd like to have my students master.,1,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,1,4,2,4,3,4,1,WE,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,1,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,1,3,1,4,2,4,3,SO,7,No time. Syllabus is full and I usually don't get everything covered without adding new components.,1,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,1,1,2,4,2,4,3,SO,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,1,2,1,4,3,4,2,NE,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,1,2,1,4,3,4,2,NE,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,1,4,2,4,9,4,1,SO,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,1,2,2,4,9,4,3,MW,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,1,2,2,2,2,4,3,NE,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,1,4,1,4,2,4,2,NE,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,1,3,1,4,4,4,2,NE,2,"I'm relatively new here, and I am slowly taking over courses from other faculty.  I'm still transitioning the courses from ""their"" courses to ""my"" courses.",1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,#NULL!,#NULL!,2,2,8,4,3,NE,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,1,3,2,4,2,3,2,WE,9,"Time, I'm currently Department Chair.",1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,1,3,2,4,2,3,2,WE,9,"Availability of resources and software that would be accessible to undergraduate students at the lower (freshman, sophomore) levels",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,1,2,2,4,2,3,2,WE,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,1,3,1,4,2,3,2,NE,2,Lecturing time,1,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,1,3,2,4,2,4,3,SO,7,Time and amount of content needed to be covered.,1,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,1,3,2,4,3,3,1,SO,7,Our limitation is that several courses need to be modified to introduce bioinformatics since it would consume too much time to offer introductory material in my current course.,1,,1,,,,1,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
162,2,2,1,2,8,1,3,SO,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,1,3,2,2,8,4,3,WE,8,"I mostly coordinate labs, and I feel that graduate teaching assistants often lack the necessary skills",,,,,,,,,,,,,,,,,1,,,,,,,,1,1,1,,,,,,,,,
164,1,4,1,4,2,4,2,WE,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,1,3,1,2,3,4,2,MW,3,"We actually integrate a fair bit of bioinformatics in the lab course that I teach.  It is a project based course, so we use bioinformatics (BLAST, conserved domain search, protein alignment) where it is necessary in the project.",,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
166,1,3,2,1,2,5,3,WE,8,I have no control over the curriculum.,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
167,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,WE,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,1,4,2,4,2,4,2,WE,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,1,3,1,4,2,4,2,WE,8,meaningful ways to do so,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,
170,1,4,1,4,2,4,3,MW,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,1,4,2,4,2,4,3,MW,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,1,1,2,4,8,4,1,MW,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,1,2,2,4,2,4,2,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,1,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,MW,3,Non majors lab course where their backgrounds are not as strong.,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,
175,1,4,2,4,4,4,2,SO,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,1,2,1,4,2,3,2,NE,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,2,3,1,4,8,1,1,NE,2,"Currently limited access to data sets, project or software for bioinformatics projects.",,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,
178,1,2,1,4,8,4,3,SO,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,1,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,SO,6,Knowledge and time to do it.,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,1,1,1,4,9,4,2,SO,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,1,2,1,4,2,2,1,WE,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,1,1,1,4,3,3,1,WE,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,1,2,1,4,8,5,1,WE,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,1,4,2,4,3,5,1,SO,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,1,4,2,4,2,4,2,SO,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,1,1,2,4,2,4,2,SO,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,1,3,2,4,4,4,2,SO,7,student background,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,
188,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,WE,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,1,3,1,4,1,3,1,WE,9,Too much other core content to teach.,1,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,1,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,WE,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,1,3,1,4,2,4,2,NE,1,"time, materials for integrating the content, materials that put bioinformatics into a context that a typical undergraduate can understand",1,,1,,,,,,,,,,,,,,1,,1,1,,,,,,1,1,,,,,,,,,
192,1,2,2,4,2,4,2,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,1,2,1,4,2,4,2,SO,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,1,4,2,4,3,4,3,SO,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,1,3,2,4,9,4,2,SO,7,"I plan to design a new course specific to bioinformatics skills, but currently teach a large lecture-based evolution course.",,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
196,#NULL!,#NULL!,2,4,2,4,1,SO,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,1,2,1,4,3,2,2,NE,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,1,1,1,4,8,3,1,WE,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,1,3,2,4,2,4,3,SO,7,"time constraints, different focus of lecture content",1,,1,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,1,2,1,4,2,2,2,MW,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,1,3,2,4,1,4,2,SO,6,Not enough time to cover current content...how can I add another topic?,1,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,2,3,1,2,3,1,3,SO,5,"Course is already very content heavy, so adding more time to any topic is very difficult.",1,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,1,3,2,4,2,4,3,SO,5,No formal training.,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,1,2,1,4,3,3,1,WE,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,1,2,2,4,3,3,1,WE,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,2,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,SO,5,Set content for my courses,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,#NULL!,#NULL!,2,4,2,3,2,SO,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,1,3,1,4,1,4,2,MW,3,I am only teaching Freshman level courses.,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,
209,1,3,1,4,2,5,3,NE,2,easy sources,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,
210,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,NE,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,1,3,1,4,1,2,1,NE,2,Students select their own research discipline. Some have expressed interest in the subject matter.,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,
212,1,2,1,2,3,4,3,NE,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,1,1,2,4,2,4,2,MW,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,1,3,1,4,2,4,2,MW,4,lack of prepared activities for use in the classroom tied to specific course objectives,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,
215,1,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,MW,3,students lack any basis for using bioinformatics at the level,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,
216,1,4,1,4,3,4,1,MW,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,1,2,2,4,2,4,2,SO,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,1,3,1,4,2,4,2,SO,6,not appropriate,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,1,1,2,4,2,2,2,MW,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,MW,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,1,2,1,4,3,3,3,MW,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,1,3,1,4,2,3,2,MW,4,"Lack of clear, brief useful tutorials or exercises.  Lack of knowledge about what tools are used and are actually useful.  (My research program doesn't rely on bioinformatics.)",1,1,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,
223,1,2,2,4,2,2,2,SO,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,MW,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,1,1,2,4,2,4,3,MW,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,1,3,2,4,8,3,2,MW,4,"Content knowledge (my own), students' unfamiliarity/discomfort with bioinformatics tools, implementation strategies",1,1,,1,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,
227,1,3,1,4,8,2,2,WE,8,No demand,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,
228,1,3,1,4,3,4,1,WE,8,Poor classroom WiFi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,
229,1,3,2,1,4,4,3,WE,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,1,3,1,4,2,5,1,WE,8,Time and knowledge,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,#NULL!,#NULL!,1,2,4,1,1,WE,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,2,2,1,4,3,1,1,WE,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,2,3,2,2,2,5,1,WE,8,"Unfortunately, although I believe bioinformatics is important, it is not particularly relevant to the student audience I teach. Many of my students are entering the healthcare field as nurses, respiratory therapists, and pharmacists, who will not be utiliing bioinformatics very much.",,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,
234,2,3,1,4,8,1,1,WE,8,Not part of the course outcomes designed by the department,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
235,1,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,NE,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,1,3,2,4,3,2,3,NE,1,Time and Knowledge,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,1,2,1,4,2,4,2,MW,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,1,3,1,4,2,3,3,SO,5,Technical resources,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,1,1,,,,,,
239,1,3,2,4,2,4,3,SO,5,Time,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,1,3,2,4,3,4,1,SO,5,"I teach General Biochemistry in a completely flipped active class - all ""lectures"" are online narrated by me PowerPoints.  It would be good to get some degree of bioinformatics in the class activities.  One lab does 16S sequencing and basic Blast search.",,,,,,,,,,,,,,,,,1,1,,,,,,1,,,,,,,,,,,,
241,1,2,2,4,2,4,1,SO,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,1,1,1,4,9,4,1,SO,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,1,4,2,4,3,4,3,SO,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,1,4,1,4,2,4,1,SO,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,1,3,2,4,3,2,3,MW,4,"Personal skill and knowledge, as well as institutional resources (thought the latter is likely less of a real barrier...)",1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,,,,,,
246,1,2,2,4,3,4,2,SO,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,2,2,1,4,3,1,2,NE,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,1,3,1,4,2,5,3,WE,8,"It is a broad survey, and I mention it.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,1,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,NE,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,1,4,2,4,9,4,2,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,1,4,2,4,3,4,3,NE,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,1,2,2,4,2,4,2,NE,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,NE,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,1,3,2,4,9,5,3,SO,5,"I was hired as a biology professor, and we don't have an established curriculum or knowledge base among most of the faculty to give the students the knowledge they would need. I would need to first teach my colleagues and then convince them that this is dable",1,1,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
255,1,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,NE,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,1,2,1,4,2,4,3,WE,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,2,3,2,4,2,1,1,WE,9,currently teaching intro/non-majors course. haven't settled on approach for integrating bioinformatics-like stuff,1,,,1,,,,,,,,,,,,,1,,,1,,,,,,1,1,,,,,,,,,
258,1,3,1,4,2,3,2,WE,9,"I teach Evolution and do include some, but there is much other information to offer.",,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3
259,1,1,1,4,9,2,3,WE,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,1,3,2,4,2,4,1,WE,8,time; personal knowledge about methods weak; low quantitative skills of students,1,1,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,
261,1,4,2,4,2,4,2,WE,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,1,4,1,4,2,4,3,WE,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,1,4,2,4,2,4,3,MW,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,1,2,2,4,2,4,3,MW,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,1,3,1,4,2,4,2,MW,4,Lack of time and background knowledge obtained in prior coursework.,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,1,2,2,4,9,4,2,MW,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,1,3,2,4,2,4,3,MW,4,Limited time; Lack of knowledge about bioinformatics; lack of suitable active learning exercises,1,1,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,
268,1,2,1,4,3,5,1,WE,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,1,1,2,4,2,3,3,MW,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,1,4,2,4,2,3,2,MW,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,1,3,3,4,3,2,2,WE,9,So many other avenues/approaches to cover (the course is advanced developmental biology),1,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,1,3,1,4,2,5,2,NA,NA,Good resources that are at the freshman level.,,,,,,,,,,,,,,,,,1,1,,1,,,,,,1,1,,,,,,,,,
273,1,2,1,4,2,4,2,MW,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,#NULL!,#NULL!,2,2,2,1,2,WE,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,1,1,2,4,9,4,2,WE,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,1,1,1,4,7,4,3,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,1,2,1,4,2,3,3,NE,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,1,2,2,4,3,3,2,NE,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,1,3,1,4,8,4,1,SO,5,time,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,1,3,2,4,8,4,2,SO,5,The course demand and low enrollment risks,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,
281,1,3,1,4,2,4,1,SO,5,Time during the semester and lack of integration of the material in the text I use.,1,,1,1,,,1,1,1,,,,,,,,1,,,,,,1,,,,,,,,,,,,,
282,#NULL!,#NULL!,2,4,4,3,2,WE,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,2,3,1,4,2,1,1,MW,4,Unsure what is a useful skill or lesson...the field is changing and I'm not sure what to use as a sample of what's current.,1,1,,1,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,
284,2,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,MW,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,2,3,2,4,2,1,1,WE,9,My low level of knowledge about what resources are easily available that students will be able to understand and use effectively.,1,1,,1,,,,,,,,,,,,,1,1,1,,1,,,,,1,1,,,,,,,,,
286,1,3,2,4,2,4,2,MW,3,my personal knowledge (or lack thereof) on the subject,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,WE,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,1,4,2,4,2,4,3,WE,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,1,4,2,4,2,4,2,MW,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,1,2,1,4,3,3,2,NE,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,1,2,2,4,3,4,2,NE,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,1,2,2,4,3,2,1,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,1,3,1,4,2,2,1,NA,NA,Lack of interest from other faculty.,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
