"","Formal_Training","No_Training","SelfDTaught","Workshops_and_Bootcamps"
"Faculty Issues"," 38"," 19","100"," 63"
"Curriculum Issues","27"," 8","53","28"
"Student Issues","15"," 2","19","25"
"Institutional Issues","12"," 4","15","12"
"Resource Issues"," 7"," 4","16"," 9"
"Facilities Issues"," 1"," 1","10","10"
