"","Var1","Var2","value","summed_score","percentage","responses","proportion","nice_names"
"45","3_Do NOT currently, but would like to include 'substantial' bioinformatics in courses for life-science majors","Resource Issues: Access to exercises",39,39,100,591,0.065989847715736,"Not.Integrating.Bioinformatics"
"46","1_Dedicated course for life-science majors","Resource Issues: Access to lesson plans",0,37,0,132,0,"Dedicated.Course"
"47","2_Include 'substantial' bioinformatics in courses for life-science majors","Resource Issues: Access to lesson plans",0,37,0,263,0,"Integrating.Bioinformatics"
"48","3_Do NOT currently, but would like to include 'substantial' bioinformatics in courses for life-science majors","Resource Issues: Access to lesson plans",37,37,100,591,0.0626057529610829,"Not.Integrating.Bioinformatics"
"49","1_Dedicated course for life-science majors","Resource Issues: Access to intro content",0,18,0,132,0,"Dedicated.Course"
"50","2_Include 'substantial' bioinformatics in courses for life-science majors","Resource Issues: Access to intro content",0,18,0,263,0,"Integrating.Bioinformatics"
"51","3_Do NOT currently, but would like to include 'substantial' bioinformatics in courses for life-science majors","Resource Issues: Access to intro content",18,18,100,591,0.0304568527918782,"Not.Integrating.Bioinformatics"
"52","1_Dedicated course for life-science majors","Resource Issues: Unable to vet content",0,17,0,132,0,"Dedicated.Course"
"53","2_Include 'substantial' bioinformatics in courses for life-science majors","Resource Issues: Unable to vet content",0,17,0,263,0,"Integrating.Bioinformatics"
"54","3_Do NOT currently, but would like to include 'substantial' bioinformatics in courses for life-science majors","Resource Issues: Unable to vet content",17,17,100,591,0.0287648054145516,"Not.Integrating.Bioinformatics"
"55","1_Dedicated course for life-science majors","Resource Issues: Funding",0,10,0,132,0,"Dedicated.Course"
"56","2_Include 'substantial' bioinformatics in courses for life-science majors","Resource Issues: Funding",0,10,0,263,0,"Integrating.Bioinformatics"
"57","3_Do NOT currently, but would like to include 'substantial' bioinformatics in courses for life-science majors","Resource Issues: Funding",10,10,100,591,0.0169204737732657,"Not.Integrating.Bioinformatics"
"58","1_Dedicated course for life-science majors","Resource Issues: No appropriate textbook",0,9,0,132,0,"Dedicated.Course"
"59","2_Include 'substantial' bioinformatics in courses for life-science majors","Resource Issues: No appropriate textbook",0,9,0,263,0,"Integrating.Bioinformatics"
"60","3_Do NOT currently, but would like to include 'substantial' bioinformatics in courses for life-science majors","Resource Issues: No appropriate textbook",9,9,100,591,0.0152284263959391,"Not.Integrating.Bioinformatics"
"61","1_Dedicated course for life-science majors","Resource Issues: No access to online exercises",0,5,0,132,0,"Dedicated.Course"
"62","2_Include 'substantial' bioinformatics in courses for life-science majors","Resource Issues: No access to online exercises",0,5,0,263,0,"Integrating.Bioinformatics"
"63","3_Do NOT currently, but would like to include 'substantial' bioinformatics in courses for life-science majors","Resource Issues: No access to online exercises",5,5,100,591,0.00846023688663283,"Not.Integrating.Bioinformatics"
"64","1_Dedicated course for life-science majors","Resource Issues: No qualified TAs",0,1,0,132,0,"Dedicated.Course"
"65","2_Include 'substantial' bioinformatics in courses for life-science majors","Resource Issues: No qualified TAs",0,1,0,263,0,"Integrating.Bioinformatics"
"66","3_Do NOT currently, but would like to include 'substantial' bioinformatics in courses for life-science majors","Resource Issues: No qualified TAs",1,1,100,591,0.00169204737732657,"Not.Integrating.Bioinformatics"
"67","1_Dedicated course for life-science majors","Student Issues: Background knowledge",0,58,0,132,0,"Dedicated.Course"
"68","2_Include 'substantial' bioinformatics in courses for life-science majors","Student Issues: Background knowledge",0,58,0,263,0,"Integrating.Bioinformatics"
"69","3_Do NOT currently, but would like to include 'substantial' bioinformatics in courses for life-science majors","Student Issues: Background knowledge",58,58,100,591,0.0981387478849408,"Not.Integrating.Bioinformatics"
"70","1_Dedicated course for life-science majors","Student Issues: Interest in topic",0,13,0,132,0,"Dedicated.Course"
"71","2_Include 'substantial' bioinformatics in courses for life-science majors","Student Issues: Interest in topic",0,13,0,263,0,"Integrating.Bioinformatics"
"72","3_Do NOT currently, but would like to include 'substantial' bioinformatics in courses for life-science majors","Student Issues: Interest in topic",13,13,100,591,0.0219966159052453,"Not.Integrating.Bioinformatics"
