"","category_key","variable","value"
"1","Minority.Serving","Yes","0.6279070"
"2","Non.Minority.Serving","Yes","0.4939759"
"3","Minority.Serving","No","0.3720930"
"4","Non.Minority.Serving","No","0.5060241"
