"","Bachelors","Masters","Professional.Degree","Doctoral"
"Faculty Issues"," 1"," 5"," 0","30"
"Facilities Issues","  0"," 22","  3","159"
"Resource Issues","  1"," 15","  2","121"
"Institutional Issues","  1"," 10","  1","120"
"Student Issues"," 0"," 3"," 0","16"
"Curriculum Issues","0","1","0","7"
