"","Bachelors","Masters","Professional_Degree","Doctoral"
"category_key","1_B.S. (or equivalent)","2_M.S. (or equivalent)","3_Professional degree (e.g., M.D.)","4_Ph.D. (or equivalent)"
"response_count","5","81","4","412"
