"","Bachelors","Masters","Professional.Degree","Doctoral"
"Faculty Issues","  1"," 37","  1","247"
"Curriculum Issues","  2"," 31","  3","168"
"Resource Issues"," 1","13"," 1","66"
"Student Issues"," 1","14"," 0","47"
"Facilities Issues"," 0"," 3"," 0","15"
"Institutional Issues","0","0","0","3"
"State Issues","0","1","0","0"
"Accredidation Issues","0","1","0","0"
