"","category_key","variable","value"
"1","Dedicated.Course","Yes","0.4628099"
"2","Integrating.Bioinformatics","Yes","0.5306122"
"3","Not.Integrating.Bioinformatics","Yes","0.5517928"
"4","Dedicated.Course","No","0.5371901"
"5","Integrating.Bioinformatics","No","0.4693878"
"6","Not.Integrating.Bioinformatics","No","0.4482072"
