"","Var1","Var2","value","summed_score","percentage"
"56","Q30_scored_sub_Doc.1.22.","Q29.30_Facilities...Computers.are.too.old..inadequate",7,24,29.1666666666667
"57","Q30_scored_sub_Assoc.1.22.","Q29.30_Faculty...No.Expertise.Training",7,27,25.9259259259259
"58","Q30_scored_sub_Bacca.1.22.","Q29.30_Faculty...No.Expertise.Training",10,27,37.037037037037
"59","Q30_scored_sub_Master.1.22.","Q29.30_Faculty...No.Expertise.Training",7,27,25.9259259259259
"60","Q30_scored_sub_Doc.1.22.","Q29.30_Faculty...No.Expertise.Training",3,27,11.1111111111111
"61","Q30_scored_sub_Assoc.1.22.","Q29.30_Resources...Approp..Software",13,41,31.7073170731707
"62","Q30_scored_sub_Bacca.1.22.","Q29.30_Resources...Approp..Software",9,41,21.9512195121951
"63","Q30_scored_sub_Master.1.22.","Q29.30_Resources...Approp..Software",13,41,31.7073170731707
"64","Q30_scored_sub_Doc.1.22.","Q29.30_Resources...Approp..Software",6,41,14.6341463414634
"65","Q30_scored_sub_Assoc.1.22.","Q29.30_Resources...Operating.System.Availability.Issues",6,50,12
"66","Q30_scored_sub_Bacca.1.22.","Q29.30_Resources...Operating.System.Availability.Issues",17,50,34
"67","Q30_scored_sub_Master.1.22.","Q29.30_Resources...Operating.System.Availability.Issues",15,50,30
"68","Q30_scored_sub_Doc.1.22.","Q29.30_Resources...Operating.System.Availability.Issues",12,50,24
"69","Q30_scored_sub_Assoc.1.22.","Q29.30_Resources...no.high.performance.systems.available",13,63,20.6349206349206
"70","Q30_scored_sub_Bacca.1.22.","Q29.30_Resources...no.high.performance.systems.available",28,63,44.4444444444444
"71","Q30_scored_sub_Master.1.22.","Q29.30_Resources...no.high.performance.systems.available",15,63,23.8095238095238
"72","Q30_scored_sub_Doc.1.22.","Q29.30_Resources...no.high.performance.systems.available",7,63,11.1111111111111
"73","Q30_scored_sub_Assoc.1.22.","Q29.30_Inst.Dept.Support...No.IT.support",26,116,22.4137931034483
"74","Q30_scored_sub_Bacca.1.22.","Q29.30_Inst.Dept.Support...No.IT.support",45,116,38.7931034482759
"75","Q30_scored_sub_Master.1.22.","Q29.30_Inst.Dept.Support...No.IT.support",32,116,27.5862068965517
"76","Q30_scored_sub_Doc.1.22.","Q29.30_Inst.Dept.Support...No.IT.support",13,116,11.2068965517241
"77","Q30_scored_sub_Assoc.1.22.","Q29.30_Facilities...Computer.Labs.limited.or.not.available",37,154,24.025974025974
"78","Q30_scored_sub_Bacca.1.22.","Q29.30_Facilities...Computer.Labs.limited.or.not.available",41,154,26.6233766233766
"79","Q30_scored_sub_Master.1.22.","Q29.30_Facilities...Computer.Labs.limited.or.not.available",34,154,22.0779220779221
"80","Q30_scored_sub_Doc.1.22.","Q29.30_Facilities...Computer.Labs.limited.or.not.available",42,154,27.2727272727273
