"","Not.underrepresented.in.STEM","Underrepresented.in.STEM"
"Faculty Issues","245"," 20"
"Curriculum Issues","172"," 22"
"Resource Issues","65"," 9"
"Student Issues","57"," 3"
"Facilities Issues","14"," 3"
"Institutional Issues","2","1"
"State Issues","2","0"
"Accredidation Issues","1","0"
