ID,Q57,Q1,Q14,Q17,Q3,Q21,Q22,Region,Division,Q29,Q30,36,28,8,2,1,189,163,26,12,15,147,54,45,68,22,134,129,3,4,20,10,6,12,1,8,4,3,2,,,,,,,,,,,,,,,,,,,,,,,
ID,Please select the statement belOw that best describes yOu.,Please select the statement belOw that best describes yOur current teaching Of biOinfOrmatics cOn...,Sex,"Highest earned degree. If ""other,"" please explain.",Which of the following best describes your level of bioinformatics training?,What is the Carnegie classification of your institution?,Is your institution classified as minority-serving?,Region,Division,"At your current institution, do you face any technical barriers in teaching bioinformatics, e.g.,...",Optional: Please describe.,Faculty Issues - General,Faculty - No Expertise/Training,Faculty - Time,Faculty - not interested in topic,Faculty - no computer sci Faculty,Facilities - General,Facilities - Computer Labs limited or not available,Facilities - Computers are too old /inadequate,Facilities - Servers,Facilities - Internet Access Limited,Resources - General,Resources - Operating System Availability/Issues,Resources - Approp. Software,Resources - no high performance systems available,Resources - Funding,Inst/Dept Support - General,Inst/Dept Support - No IT support,Inst/Dept Support - No Sub to Pay-site Databases,Inst/Dept Support - Comp Sci Dept Will not support Bioinf,Student Issues - General,Student Issues - Access to Approp Software off campus,Student Issues - Basic Computing Knowledge,Student Issues - No access to computers at home,Student Issues - No interest in Bioinf,Curriculum Issues - General,Curriculum - Need to Develop new program,Curriculum Class Size too large,Curriculum - Access to developed Bioinf Lesson Plans/Bioinf Curric,,,,,,,,,,,,,,,,,,,,,,,
29,1,2,2,4,8,2,2,NE,2,1,Access and support for computational resources,,,,,,,,,,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1,2,2,4,3,2,3,NE,2,1,"Lack of IT support, no Mac computer labs.",,,,,,1,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2,3,2,4,3,1,1,WE,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,MW,4,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1,3,1,2,3,4,1,SO,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,MW,3,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1,1,2,4,8,3,3,NE,2,1,"Limited operating systems (and support for them), limited access to high performance computing.",,,,,,,,,,,1,1,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1,3,1,4,3,3,1,NE,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1,3,1,4,2,2,2,NE,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1,1,2,4,8,4,1,NE,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2,3,1,4,9,5,3,SO,5,1,"No dedicated computer lab in building, but may have to go across campus",,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1,3,2,4,2,2,1,SO,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1,3,1,4,3,3,3,NE,2,1,"Our computer resources are VERY limited and our IT people are hesitant to let us use or install any software they are not trained on.  In fact, installing GIS required multiple emails from department chair indicating the dean, department, and administratin wanted us to use it.",,,,,,1,1,,,,1,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,#NULL!,#NULL!,1,2,8,1,2,SO,5,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2,3,1,2,1,1,3,SO,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1,2,2,4,2,2,1,SO,5,1,IT support and computer access is improving as rooms are redesigned,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1,3,2,4,3,2,1,SO,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,1,3,2,4,3,2,1,SO,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,1,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,MW,3,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1,3,2,4,2,4,2,WE,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1,4,2,4,2,4,2,MW,3,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
