"","Formal_Training","No_Training","SelfDTaught","Workshops_and_Bootcamps"
"Curriculum Issues"," 51"," 15","104"," 57"
"Faculty Issues"," 69"," 35","154","100"
"Facility Issues"," 5"," 2","33","13"
"Resources Issues","15"," 3","41","18"
"Student Issues"," 73"," 23","132"," 67"
"Institutional Issues"," 6"," 0","13"," 8"
