"","Var1","Var2","value","summed_score","percentage","responses","proportion","nice_names"
"125","2010-2016","Facilities: Access to equipment",6,17,35.2941176470588,98,0.0612244897959184,"K2010D2016"
"126","1970-1979","Institutional: Inertia",0,3,0,23,0,"K1970D1979"
"127","1980-1989","Institutional: Inertia",1,3,33.3333333333333,73,0.0136986301369863,"K1980D1989"
"128","1990-1999","Institutional: Inertia",2,3,66.6666666666667,129,0.0155038759689922,"K1990D1999"
"129","2000-2009","Institutional: Inertia",0,3,0,168,0,"K2000D2009"
"130","2010-2016","Institutional: Inertia",0,3,0,98,0,"K2010D2016"
"131","1970-1979","State Restrictions",0,2,0,23,0,"K1970D1979"
"132","1980-1989","State Restrictions",1,2,50,73,0.0136986301369863,"K1980D1989"
"133","1990-1999","State Restrictions",0,2,0,129,0,"K1990D1999"
"134","2000-2009","State Restrictions",0,2,0,168,0,"K2000D2009"
"135","2010-2016","State Restrictions",1,2,50,98,0.0102040816326531,"K2010D2016"
"136","1970-1979","Accreditation",0,1,0,23,0,"K1970D1979"
"137","1980-1989","Accreditation",0,1,0,73,0,"K1980D1989"
"138","1990-1999","Accreditation",0,1,0,129,0,"K1990D1999"
"139","2000-2009","Accreditation",1,1,100,168,0.00595238095238095,"K2000D2009"
"140","2010-2016","Accreditation",0,1,0,98,0,"K2010D2016"
