"","K1970D1979","K1980D1989","K1990D1999","K2000D2009","K2010D2016"
"Faculty Issues"," 11"," 40"," 81","100"," 46"
"Curriculum Issues","10","27","59","73","35"
"Resource Issues"," 1"," 9","26","26","16"
"Student Issues"," 2","12","13","19","16"
"Facilities Issues","0","1","6","4","6"
"Institutional Issues","0","1","2","0","0"
"State Issues","0","1","0","0","1"
"Accredidation Issues","0","0","0","1","0"
