"","American.Indian.or.Alaskan.Native","Asian","Black.or.African.American","Native.Hawaiian.or.Pacific.Islander","White"
"category_key","1_American Indian or Alaska Native","2_Asian","3_Black or African American","4_Native Hawaiian or Other Pacific Islander","5_White"
"response_count","2","65","35","3","847"
