Var1,Var2,value,summed_score,percentage,responses,proportion,nice_names,positive_scored_response,null_scored_response,prop_test_chi_pvalue
2_Male,Student Issues: Background knowledge,24.0,51.0,47.05882352941176,516.0,0.046511627906976744,Male,24.0,492.0,0.6485810792430292
1_Female,Student Issues: Interest in topic,9.0,13.0,69.23076923076923,497.0,0.018108651911468814,Female,9.0,488.0,0.22853908352396177
2_Male,Student Issues: Interest in topic,4.0,13.0,30.76923076923077,516.0,0.007751937984496124,Male,4.0,512.0,0.22853908352396177
1_Female,Facilities: Access to equipment,8.0,17.0,47.05882352941176,497.0,0.01609657947686117,Female,8.0,489.0,0.9999999999999993
2_Male,Facilities: Access to equipment,9.0,17.0,52.94117647058824,516.0,0.01744186046511628,Male,9.0,507.0,0.9999999999999993
1_Female,Institutional: Inertia,2.0,3.0,66.66666666666666,497.0,0.004024144869215292,Female,2.0,495.0,0.9725934102678923
2_Male,Institutional: Inertia,1.0,3.0,33.33333333333333,516.0,0.001937984496124031,Male,1.0,515.0,0.9725934102678923
1_Female,State Restrictions,2.0,2.0,100.0,497.0,0.004024144869215292,Female,2.0,495.0,0.46089690148697243
2_Male,State Restrictions,0.0,2.0,0.0,516.0,0.0,Male,0.0,516.0,0.46089690148697243
1_Female,Accreditation,1.0,1.0,100.0,497.0,0.002012072434607646,Female,1.0,496.0,0.9842216806372726
2_Male,Accreditation,0.0,1.0,0.0,516.0,0.0,Male,0.0,516.0,0.9842216806372726
