"","Var1","Var2","value","summed_score","percentage","proportion"
"50","Q33_scored_sub_Bacca.1.24.","Q33_Resources...Funding..general.",8,28,28.5714285714286,0.0350877192982456
"51","Q33_scored_sub_Master.1.24.","Q33_Resources...Funding..general.",11,28,39.2857142857143,0.053921568627451
"52","Q33_scored_sub_Doc.1.24.","Q33_Resources...Funding..general.",4,28,14.2857142857143,0.0111731843575419
"53","Q33_scored_sub_Assoc.1.24.","Q33_Student.issues...Intimidated.by.topic",2,29,6.89655172413793,0.0113636363636364
"54","Q33_scored_sub_Bacca.1.24.","Q33_Student.issues...Intimidated.by.topic",3,29,10.3448275862069,0.0131578947368421
"55","Q33_scored_sub_Master.1.24.","Q33_Student.issues...Intimidated.by.topic",8,29,27.5862068965517,0.0392156862745098
"56","Q33_scored_sub_Doc.1.24.","Q33_Student.issues...Intimidated.by.topic",16,29,55.1724137931034,0.0446927374301676
"57","Q33_scored_sub_Assoc.1.24.","Q33_Curriculum...Access.to.developed.Bioinf.Lesson.Plans.Bioinf.Curric",11,34,32.3529411764706,0.0625
"58","Q33_scored_sub_Bacca.1.24.","Q33_Curriculum...Access.to.developed.Bioinf.Lesson.Plans.Bioinf.Curric",8,34,23.5294117647059,0.0350877192982456
"59","Q33_scored_sub_Master.1.24.","Q33_Curriculum...Access.to.developed.Bioinf.Lesson.Plans.Bioinf.Curric",8,34,23.5294117647059,0.0392156862745098
"60","Q33_scored_sub_Doc.1.24.","Q33_Curriculum...Access.to.developed.Bioinf.Lesson.Plans.Bioinf.Curric",7,34,20.5882352941176,0.0195530726256983
"61","Q33_scored_sub_Assoc.1.24.","Q33_Facilities...Computer.Labs.limited.or.not.available",8,45,17.7777777777778,0.0454545454545455
"62","Q33_scored_sub_Bacca.1.24.","Q33_Facilities...Computer.Labs.limited.or.not.available",14,45,31.1111111111111,0.0614035087719298
"63","Q33_scored_sub_Master.1.24.","Q33_Facilities...Computer.Labs.limited.or.not.available",7,45,15.5555555555556,0.0343137254901961
"64","Q33_scored_sub_Doc.1.24.","Q33_Facilities...Computer.Labs.limited.or.not.available",16,45,35.5555555555556,0.0446927374301676
"65","Q33_scored_sub_Assoc.1.24.","Q33_Resources...Acces.to.Approp..Software",13,45,28.8888888888889,0.0738636363636364
"66","Q33_scored_sub_Bacca.1.24.","Q33_Resources...Acces.to.Approp..Software",9,45,20,0.0394736842105263
"67","Q33_scored_sub_Master.1.24.","Q33_Resources...Acces.to.Approp..Software",10,45,22.2222222222222,0.0490196078431373
"68","Q33_scored_sub_Doc.1.24.","Q33_Resources...Acces.to.Approp..Software",13,45,28.8888888888889,0.0363128491620112
"69","Q33_scored_sub_Assoc.1.24.","Q33_Curric.Issues...How.quickly.the.material.tech.changes",6,50,12,0.0340909090909091
"70","Q33_scored_sub_Bacca.1.24.","Q33_Curric.Issues...How.quickly.the.material.tech.changes",21,50,42,0.0921052631578947
"71","Q33_scored_sub_Master.1.24.","Q33_Curric.Issues...How.quickly.the.material.tech.changes",11,50,22,0.053921568627451
"72","Q33_scored_sub_Doc.1.24.","Q33_Curric.Issues...How.quickly.the.material.tech.changes",12,50,24,0.0335195530726257
"73","Q33_scored_sub_Assoc.1.24.","Q33_Curric.Isues...To.much.conent.in.Life.Sci.curric",9,68,13.2352941176471,0.0511363636363636
"74","Q33_scored_sub_Bacca.1.24.","Q33_Curric.Isues...To.much.conent.in.Life.Sci.curric",19,68,27.9411764705882,0.0833333333333333
"75","Q33_scored_sub_Master.1.24.","Q33_Curric.Isues...To.much.conent.in.Life.Sci.curric",14,68,20.5882352941176,0.0686274509803922
"76","Q33_scored_sub_Doc.1.24.","Q33_Curric.Isues...To.much.conent.in.Life.Sci.curric",26,68,38.2352941176471,0.0726256983240224
"77","Q33_scored_sub_Assoc.1.24.","Q33_Facutly...Time",15,82,18.2926829268293,0.0852272727272727
"78","Q33_scored_sub_Bacca.1.24.","Q33_Facutly...Time",22,82,26.8292682926829,0.0964912280701754
