"","q33_Assoc_var_reduced.1.6.","q33_Bacca_var_reduced.1.6.","q33_Doc_var_reduced.1.6.","q33_Master_var_reduced.1.6."
"q33_Faculty_issues_reduced",65,98,94,72
"q33_Facility_issues_reduced",8,15,18,8
"q33_Resources_issues_reduced",18,17,18,20
"q33_Student_issues_reduced",38,54,118,68
"q33_Curriculum_issues_reduced",32,61,77,46
"q33_Institutional_issues_reduced",3,10,1,9
