"","Var1","Var2","value"
"1","q33_Assoc_var_reduced.1.6.","q33_Faculty_issues_reduced",65
"2","q33_Bacca_var_reduced.1.6.","q33_Faculty_issues_reduced",98
"3","q33_Doc_var_reduced.1.6.","q33_Faculty_issues_reduced",94
"4","q33_Master_var_reduced.1.6.","q33_Faculty_issues_reduced",72
"5","chiValues","q33_Faculty_issues_reduced",0.0214892553723138
"6","q33_Assoc_var_reduced.1.6.","q33_Facility_issues_reduced",8
"7","q33_Bacca_var_reduced.1.6.","q33_Facility_issues_reduced",15
"8","q33_Doc_var_reduced.1.6.","q33_Facility_issues_reduced",18
"9","q33_Master_var_reduced.1.6.","q33_Facility_issues_reduced",8
"10","chiValues","q33_Facility_issues_reduced",0.0829585207396302
"11","q33_Assoc_var_reduced.1.6.","q33_Resources_issues_reduced",18
"12","q33_Bacca_var_reduced.1.6.","q33_Resources_issues_reduced",17
"13","q33_Doc_var_reduced.1.6.","q33_Resources_issues_reduced",18
"14","q33_Master_var_reduced.1.6.","q33_Resources_issues_reduced",20
"15","chiValues","q33_Resources_issues_reduced",0.975512243878061
"16","q33_Assoc_var_reduced.1.6.","q33_Student_issues_reduced",38
"17","q33_Bacca_var_reduced.1.6.","q33_Student_issues_reduced",54
"18","q33_Doc_var_reduced.1.6.","q33_Student_issues_reduced",118
"19","q33_Master_var_reduced.1.6.","q33_Student_issues_reduced",68
"20","chiValues","q33_Student_issues_reduced",0.000499750124937531
"21","q33_Assoc_var_reduced.1.6.","q33_Curriculum_issues_reduced",32
"22","q33_Bacca_var_reduced.1.6.","q33_Curriculum_issues_reduced",61
"23","q33_Doc_var_reduced.1.6.","q33_Curriculum_issues_reduced",77
"24","q33_Master_var_reduced.1.6.","q33_Curriculum_issues_reduced",46
"25","chiValues","q33_Curriculum_issues_reduced",0.000499750124937531
"26","q33_Assoc_var_reduced.1.6.","q33_Institutional_issues_reduced",3
"27","q33_Bacca_var_reduced.1.6.","q33_Institutional_issues_reduced",10
"28","q33_Doc_var_reduced.1.6.","q33_Institutional_issues_reduced",1
"29","q33_Master_var_reduced.1.6.","q33_Institutional_issues_reduced",9
"30","chiValues","q33_Institutional_issues_reduced",0.0149925037481259
