"","Associates","Baccalaureate","Masters","Doctoral"
"Curriculum Issues","32","61","46","77"
"Faculty Issues","65","98","72","94"
"Facility Issues"," 8","15"," 8","18"
"Resources Issues","18","17","20","18"
"Student Issues"," 38"," 54"," 68","118"
"Institutional Issues"," 3","10"," 9"," 1"
