"","K1970D1979","K1980D1989","K1990D1999","K2000D2009","K2010D2016"
"Curriculum Issues","12","38","58","82","31"
"Faculty Issues"," 14"," 73"," 98","115"," 49"
"Facility Issues"," 2"," 7","17","18"," 7"
"Resources Issues"," 1","19","26","23"," 8"
"Student Issues","20","56","87","92","34"
"Institutional Issues","0","8","7","8","4"
