"","Not_underrepresented_in_STEM","Underrepresented_in_STEM"
"Faculty Issues","31"," 3"
"Facilities Issues","153"," 16"
"Resource Issues","114"," 14"
"Institutional Issues","113"," 10"
"Student Issues","18"," 0"
"Curriculum Issues","8","0"
