"","Bachelors","Masters","Professional.Degree","Doctoral"
"Curriculum Issues","  2"," 20","  0","203"
"Faculty Issues","  0"," 41","  1","315"
"Facility Issues"," 0"," 7"," 0","46"
"Resources Issues"," 0"," 9"," 0","68"
"Student Issues","  2"," 29","  2","262"
"Institutional Issues"," 0"," 2"," 1","24"
